sweep_id,rep,n,p,sigma,estimator,lambda,kappa,ISE,OpErr,OpErr2,RMSE,DiscErr,cell_label
3,0,20,40,0.1935873133509986,ols,0.0,4.0555013111094656e+18,11.496922953123798,0.24818666661606556,0.06159662148599407,0.3151356784770305,0.00020979797736610052,"p=40,n=p/2"
3,1,20,40,0.1935873133509986,ols,0.0,7.477396936002612e+18,8.71692087582861,0.2438303757309468,0.059453252129094684,0.31040207916510965,0.00021482762885779847,"p=40,n=p/2"
3,2,20,40,0.1935873133509986,ols,0.0,1.3703028390648906e+18,11.423439867571766,0.29205325097990137,0.08529510140792924,0.35089105160537276,0.00021419602129938431,"p=40,n=p/2"
3,3,20,40,0.1935873133509986,ols,0.0,5.551844416148517e+18,16.199760199103753,0.2862980762656144,0.08196658847339154,0.3463555478759189,0.0002116708538028082,"p=40,n=p/2"
3,4,20,40,0.1935873133509986,ols,0.0,1.9692723609700526e+18,10.82502120789628,0.26514784878651,0.07030338171611397,0.3264603810575393,0.00021642922975242818,"p=40,n=p/2"
3,5,20,40,0.1935873133509986,ols,0.0,1.3416583456779313e+19,10.068275213972658,0.2659938345348127,0.07075272001053332,0.3294390604154658,0.0002188227273223486,"p=40,n=p/2"
3,6,20,40,0.1935873133509986,ols,0.0,3.1828868984540534e+18,12.483557391182742,0.25588715431133724,0.06547823574155412,0.32013281880899724,0.00020980899770194756,"p=40,n=p/2"
3,7,20,40,0.1935873133509986,ols,0.0,7.87738807345188e+17,11.388937342739569,0.2640875797518194,0.06974224977917358,0.32855059107107165,0.00021193065594332777,"p=40,n=p/2"
3,8,20,40,0.1935873133509986,ols,0.0,2.917038581187719e+18,10.05190266539635,0.25436246888252306,0.06470026557601252,0.31840136977043776,0.0002198446206623141,"p=40,n=p/2"
3,9,20,40,0.1935873133509986,ols,0.0,7.070801708138983e+19,10.146355424041534,0.24487884537381976,0.059965648911615134,0.31209115609258387,0.0002132035617670467,"p=40,n=p/2"
3,10,20,40,0.1935873133509986,ols,0.0,7.418692067989373e+19,11.316258769995727,0.2533768568838823,0.06419983160435536,0.3176545770790474,0.00021217721032564912,"p=40,n=p/2"
3,11,20,40,0.1935873133509986,ols,0.0,1.0927403658977489e+19,9.37909558310218,0.24230927273819053,0.0587137836549108,0.3104920383938227,0.00020845456990890333,"p=40,n=p/2"
3,12,20,40,0.1935873133509986,ols,0.0,2.217426282581423e+18,13.208044656562379,0.30470053161012334,0.09284241396349176,0.36165782522512174,0.0002133267484177101,"p=40,n=p/2"
3,13,20,40,0.1935873133509986,ols,0.0,8.919889091066095e+17,11.098077598224327,0.2566159153130107,0.06585172799193427,0.3207479383175722,0.0002151880667383136,"p=40,n=p/2"
3,14,20,40,0.1935873133509986,ols,0.0,2.233036873526757e+18,9.257893311131568,0.2515873774348941,0.06329620848456786,0.3171876399088021,0.00022116636734057548,"p=40,n=p/2"
3,15,20,40,0.1935873133509986,ols,0.0,4.764185581180927e+18,12.351584089148368,0.25423651860779956,0.064636207393814,0.32078808317214147,0.000215398645545777,"p=40,n=p/2"
3,16,20,40,0.1935873133509986,ols,0.0,1.3794576312478807e+18,10.410634659671667,0.2631815590071145,0.06926453300141529,0.3285569396393249,0.00022193070048346638,"p=40,n=p/2"
3,17,20,40,0.1935873133509986,ols,0.0,2.9620836276525865e+18,9.63370065174343,0.2547629544906993,0.06490416298083011,0.3184568458165374,0.00022028557462212185,"p=40,n=p/2"
3,18,20,40,0.1935873133509986,ols,0.0,2.6397953178030735e+18,11.514321492531213,0.2837845387493407,0.08053366443317603,0.3422171052896749,0.00022531665857985944,"p=40,n=p/2"
3,19,20,40,0.1935873133509986,ols,0.0,1.250804526346069e+19,10.880176795230009,0.2657518004388568,0.07062401943649398,0.32911569027422083,0.00022154785369037167,"p=40,n=p/2"
3,20,20,40,0.1935873133509986,ols,0.0,3.448855775995604e+18,9.199982746217081,0.23546638947831294,0.05544442057395256,0.30455591008481725,0.00022644835128438637,"p=40,n=p/2"
3,21,20,40,0.1935873133509986,ols,0.0,7.641420236552155e+17,10.790575235435671,0.23635627897585898,0.05586429061131407,0.30735323468813325,0.00022035735204958238,"p=40,n=p/2"
3,22,20,40,0.1935873133509986,ols,0.0,2.1802326839673057e+18,11.221551709813498,0.23988851864725816,0.05754650137877593,0.3080071416978584,0.00021871187188661302,"p=40,n=p/2"
3,23,20,40,0.1935873133509986,ols,0.0,1.7438562152129372e+18,10.004977300449688,0.238679278101623,0.056967797795111894,0.3063352337905563,0.00021643308989418927,"p=40,n=p/2"
3,24,20,40,0.1935873133509986,ols,0.0,1.59494854522968e+18,9.653056245505535,0.24329467286523776,0.05919229784460306,0.30917525216694325,0.000217124429926713,"p=40,n=p/2"
3,25,20,40,0.1935873133509986,ols,0.0,2.399192008592318e+18,11.68840654172044,0.25907842011094134,0.06712162776718142,0.3217926577101326,0.000220749831899955,"p=40,n=p/2"
3,26,20,40,0.1935873133509986,ols,0.0,2.921463971248946e+19,12.482075456134785,0.25431098946538383,0.06467407936286257,0.31792080150062446,0.0002230989914665341,"p=40,n=p/2"
3,27,20,40,0.1935873133509986,ols,0.0,5.957816638240033e+18,11.184399182952175,0.25772027875775677,0.06641974208297585,0.32268577959731587,0.00021831765737318517,"p=40,n=p/2"
3,28,20,40,0.1935873133509986,ols,0.0,1.0670733997363397e+18,12.936629085548368,0.26809556541610285,0.07187523219577989,0.3325450127828538,0.00020569540415113472,"p=40,n=p/2"
3,29,20,40,0.1935873133509986,ols,0.0,2.1014056724138286e+18,11.351825075346968,0.26290443764709676,0.06911874333453619,0.32450605877720357,0.00021465277736786115,"p=40,n=p/2"
3,30,20,40,0.1935873133509986,ols,0.0,5.447652087316426e+18,9.43886997993476,0.2556602494910062,0.06536216316980353,0.320464786136185,0.0002202316681805649,"p=40,n=p/2"
3,31,20,40,0.1935873133509986,ols,0.0,1.1488778864221018e+18,12.491360522411556,0.27211292840888973,0.07404544580726154,0.33217211247155953,0.0002126769613492635,"p=40,n=p/2"
3,32,20,40,0.1935873133509986,ols,0.0,2.30929717456937e+18,10.683023695754235,0.25325319772117594,0.06413718215600105,0.31911004450841146,0.0002200194474810081,"p=40,n=p/2"
3,33,20,40,0.1935873133509986,ols,0.0,2.009509985839287e+18,9.941360703118704,0.24262368619037053,0.0588662531006034,0.31007404832538304,0.00019826533238491854,"p=40,n=p/2"
3,34,20,40,0.1935873133509986,ols,0.0,1.2437243799078656e+18,9.754478436806659,0.28035896608205635,0.07860114986259961,0.3388141762104454,0.00020589326935638883,"p=40,n=p/2"
3,35,20,40,0.1935873133509986,ols,0.0,6.278243634292881e+17,10.516388417835076,0.23202228261161814,0.0538343396283056,0.3030672488205927,0.00021723475043058653,"p=40,n=p/2"
3,36,20,40,0.1935873133509986,ols,0.0,4.4155865415427594e+18,11.161653433383037,0.260728766474726,0.06797948966743218,0.3254166407888643,0.00021680581623121945,"p=40,n=p/2"
3,37,20,40,0.1935873133509986,ols,0.0,3.3464829723955584e+18,11.208243985941612,0.26520094347322604,0.07033154041908923,0.32969334864629835,0.00021264850555805344,"p=40,n=p/2"
3,38,20,40,0.1935873133509986,ols,0.0,7.517479780891416e+18,12.800323820150597,0.23168706833437272,0.05367889763337629,0.30338068781525446,0.00021114677009700055,"p=40,n=p/2"
3,39,20,40,0.1935873133509986,ols,0.0,4.89772906020963e+18,9.179909255869548,0.2243008406022256,0.050310867094865014,0.29697387493275584,0.00021952296232698065,"p=40,n=p/2"
3,40,20,40,0.1935873133509986,ols,0.0,3.4903892263779967e+19,10.783903032698488,0.27180282232290087,0.07387677422269441,0.33405567794038027,0.0002083114523531536,"p=40,n=p/2"
3,41,20,40,0.1935873133509986,ols,0.0,1.261164633395312e+18,13.319170057032613,0.26928238268608856,0.07251300162509704,0.33159385886264964,0.00020907904566177068,"p=40,n=p/2"
3,42,20,40,0.1935873133509986,ols,0.0,1.82224487951968e+18,7.087690083555901,0.2193127873150209,0.0480980986798836,0.29115207977701896,0.0002056519847799586,"p=40,n=p/2"
3,43,20,40,0.1935873133509986,ols,0.0,1.7545234429967235e+19,9.645818033357429,0.25280238803099114,0.0639090473941718,0.31861636673482246,0.00022922255254387137,"p=40,n=p/2"
3,44,20,40,0.1935873133509986,ols,0.0,3.809625048494576e+18,12.461844774460978,0.2601406199459177,0.0676731421458464,0.3240628953885118,0.00021995889437057315,"p=40,n=p/2"
3,45,20,40,0.1935873133509986,ols,0.0,3.274058913216591e+18,9.577966915464549,0.2608058386493435,0.06801968547358737,0.32479142330250727,0.00021976345717157007,"p=40,n=p/2"
3,46,20,40,0.1935873133509986,ols,0.0,1.6258297038516234e+19,12.530537242346886,0.2514671876185867,0.06323574644880149,0.31919833011832743,0.0002112138108225321,"p=40,n=p/2"
3,47,20,40,0.1935873133509986,ols,0.0,2.5260277934906696e+18,9.75394811553184,0.25673571469407847,0.06591322719947927,0.32154999299677467,0.00022829587765997293,"p=40,n=p/2"
3,48,20,40,0.1935873133509986,ols,0.0,3.788825169829462e+18,9.722396586661846,0.24226390597620479,0.058691800138847394,0.3085030280135832,0.0002198352890485647,"p=40,n=p/2"
3,49,20,40,0.1935873133509986,ols,0.0,1.9162816689380915e+18,13.243699397595673,0.27474032159952694,0.0754822443126115,0.3337894825032867,0.0002193615436223332,"p=40,n=p/2"
3,0,20,40,0.1935873133509986,ridge,0.46415888336127725,4.0555013111094656e+18,0.2560144924023817,0.09858663564183359,0.009719324727175654,0.21666681273102706,0.00020979797736610052,"p=40,n=p/2"
3,1,20,40,0.1935873133509986,ridge,0.46415888336127725,7.477396936002612e+18,0.27286830985127053,0.10238452168855879,0.010482590281394965,0.2182076266816828,0.00021482762885779847,"p=40,n=p/2"
3,2,20,40,0.1935873133509986,ridge,1.0,1.3703028390648906e+18,0.14653391601069846,0.11713418536785904,0.013720417381791963,0.2265918576572734,0.00021419602129938431,"p=40,n=p/2"
3,3,20,40,0.1935873133509986,ridge,1.0,5.551844416148517e+18,0.13541549548295082,0.10985126005296633,0.012067299335224435,0.22475332298789227,0.0002116708538028082,"p=40,n=p/2"
3,4,20,40,0.1935873133509986,ridge,0.46415888336127725,1.9692723609700526e+18,0.27025248361271426,0.11024261841924302,0.01215343491593082,0.22227661799863638,0.00021642922975242818,"p=40,n=p/2"
3,5,20,40,0.1935873133509986,ridge,0.46415888336127725,1.3416583456779313e+19,0.24998381931677627,0.11524804054102432,0.013282110848545586,0.22545264359342407,0.0002188227273223486,"p=40,n=p/2"
3,6,20,40,0.1935873133509986,ridge,1.0,3.1828868984540534e+18,0.10979038684461902,0.08287105929255957,0.006867612468270923,0.21119503881816265,0.00020980899770194756,"p=40,n=p/2"
3,7,20,40,0.1935873133509986,ridge,0.46415888336127725,7.87738807345188e+17,0.2678125458006069,0.10818133419521431,0.011703201068256645,0.22137657127125163,0.00021193065594332777,"p=40,n=p/2"
3,8,20,40,0.1935873133509986,ridge,1.0,2.917038581187719e+18,0.11445310466304714,0.08664265309735314,0.007506949335748277,0.21235684150175366,0.0002198446206623141,"p=40,n=p/2"
3,9,20,40,0.1935873133509986,ridge,1.0,7.070801708138983e+19,0.10654593982695934,0.0837629293440555,0.007016228332297234,0.20989638017692572,0.0002132035617670467,"p=40,n=p/2"
3,10,20,40,0.1935873133509986,ridge,1.0,7.418692067989373e+19,0.10976376291394403,0.09380985141855859,0.00880028822317204,0.21386773123114833,0.00021217721032564912,"p=40,n=p/2"
3,11,20,40,0.1935873133509986,ridge,0.46415888336127725,1.0927403658977489e+19,0.22737712923369177,0.0914983903378136,0.0083719554344109,0.21402817538494076,0.00020845456990890333,"p=40,n=p/2"
3,12,20,40,0.1935873133509986,ridge,1.0,2.217426282581423e+18,0.11180522310086097,0.09966649455644437,0.009933410137169755,0.21774433282456299,0.0002133267484177101,"p=40,n=p/2"
